08-02 16:31:19 - INFO - Gaze Data File: testData/gazeData_world.tsv
08-02 16:31:19 - INFO - World Camera Video: testData/worldCamera.mp4
08-02 16:31:19 - INFO - Reference Image: testData/testData_referenceImage.jpg
08-02 16:31:19 - INFO - Output Directory: testData/mappedGazeOuput
08-02 16:31:20 - INFO - Reference Image: found 3594 keypoints
08-02 16:31:20 - INFO - found 2483 features on frame 0
08-02 16:31:21 - INFO - found 199 matches on frame 0
08-02 16:31:22 - INFO - found 2557 features on frame 1
08-02 16:31:22 - INFO - found 204 matches on frame 1
08-02 16:31:23 - INFO - found 2422 features on frame 2
08-02 16:31:23 - INFO - found 188 matches on frame 2
08-02 16:31:24 - INFO - found 2311 features on frame 3
08-02 16:31:24 - INFO - found 186 matches on frame 3
08-02 16:31:25 - INFO - found 2392 features on frame 4
08-02 16:31:25 - INFO - found 198 matches on frame 4
08-02 16:31:26 - INFO - found 2389 features on frame 5
08-02 16:31:27 - INFO - found 198 matches on frame 5
08-02 16:31:27 - INFO - found 2384 features on frame 6
08-02 16:31:28 - INFO - found 198 matches on frame 6
08-02 16:31:28 - INFO - found 2349 features on frame 7
08-02 16:31:29 - INFO - found 205 matches on frame 7
08-02 16:31:29 - INFO - found 2325 features on frame 8
08-02 16:31:30 - INFO - found 200 matches on frame 8
08-02 16:31:30 - INFO - found 2327 features on frame 9
08-02 16:31:31 - INFO - found 209 matches on frame 9
08-02 16:31:31 - INFO - found 2376 features on frame 10
08-02 16:31:32 - INFO - found 197 matches on frame 10
08-02 16:31:33 - INFO - found 2340 features on frame 11
08-02 16:31:33 - INFO - found 211 matches on frame 11
08-02 16:31:34 - INFO - found 2513 features on frame 12
08-02 16:31:35 - INFO - found 2449 features on frame 13
08-02 16:31:36 - INFO - found 2313 features on frame 15
08-02 16:31:37 - INFO - found 212 matches on frame 15
08-02 16:31:37 - INFO - found 2225 features on frame 16
08-02 16:31:38 - INFO - found 203 matches on frame 16
08-02 16:31:38 - INFO - found 2139 features on frame 17
08-02 16:31:39 - INFO - found 198 matches on frame 17
08-02 16:31:39 - INFO - found 2184 features on frame 18
08-02 16:31:40 - INFO - found 198 matches on frame 18
08-02 16:31:41 - INFO - found 2040 features on frame 19
08-02 16:31:41 - INFO - found 195 matches on frame 19
08-02 16:31:42 - INFO - found 2079 features on frame 20
08-02 16:31:42 - INFO - found 183 matches on frame 20
08-02 16:31:43 - INFO - found 2095 features on frame 21
08-02 16:31:43 - INFO - found 194 matches on frame 21
08-02 16:31:44 - INFO - found 2128 features on frame 22
08-02 16:31:44 - INFO - found 182 matches on frame 22
08-02 16:31:45 - INFO - found 2115 features on frame 23
08-02 16:31:45 - INFO - found 187 matches on frame 23
08-02 16:31:46 - INFO - found 2266 features on frame 24
08-02 16:31:46 - INFO - found 204 matches on frame 24
08-02 16:31:47 - INFO - found 2115 features on frame 25
08-02 16:31:47 - INFO - found 203 matches on frame 25
08-02 16:31:48 - INFO - found 2119 features on frame 26
08-02 16:31:48 - INFO - found 220 matches on frame 26
08-02 16:31:49 - INFO - found 2205 features on frame 27
08-02 16:31:49 - INFO - found 194 matches on frame 27
08-02 16:31:50 - INFO - found 2153 features on frame 28
08-02 16:31:50 - INFO - found 201 matches on frame 28
08-02 16:31:51 - INFO - found 2154 features on frame 29
08-02 16:31:52 - INFO - found 210 matches on frame 29
08-02 16:31:52 - INFO - found 2187 features on frame 30
08-02 16:31:53 - INFO - found 198 matches on frame 30
08-02 16:31:53 - INFO - found 2205 features on frame 31
08-02 16:31:54 - INFO - found 215 matches on frame 31
08-02 16:31:54 - INFO - found 2326 features on frame 32
08-02 16:31:55 - INFO - found 200 matches on frame 32
08-02 16:31:55 - INFO - found 2260 features on frame 33
08-02 16:31:56 - INFO - found 204 matches on frame 33
08-02 16:31:56 - INFO - found 2287 features on frame 34
