08-02 14:39:16 - INFO line: 199 - Reference Image: found 3594 keypoints
08-02 14:39:17 - INFO line: 322 - found 2483 features on frame 0
08-02 14:39:17 - INFO line: 335 - found 199 matches on frame 0
08-02 14:39:18 - INFO line: 322 - found 2557 features on frame 1
08-02 14:39:18 - INFO line: 335 - found 204 matches on frame 1
08-02 14:39:19 - INFO line: 322 - found 2422 features on frame 2
08-02 14:39:19 - INFO line: 335 - found 188 matches on frame 2
08-02 14:39:20 - INFO line: 322 - found 2311 features on frame 3
08-02 14:39:21 - INFO line: 335 - found 186 matches on frame 3
08-02 14:39:21 - INFO line: 322 - found 2392 features on frame 4
08-02 14:39:22 - INFO line: 335 - found 198 matches on frame 4
08-02 14:39:22 - INFO line: 322 - found 2389 features on frame 5
08-02 14:39:23 - INFO line: 335 - found 198 matches on frame 5
08-02 14:39:23 - INFO line: 322 - found 2384 features on frame 6
08-02 14:39:24 - INFO line: 335 - found 198 matches on frame 6
08-02 14:39:24 - INFO line: 322 - found 2349 features on frame 7
08-02 14:39:25 - INFO line: 335 - found 205 matches on frame 7
08-02 14:39:25 - INFO line: 322 - found 2325 features on frame 8
08-02 14:39:26 - INFO line: 335 - found 200 matches on frame 8
08-02 14:39:27 - INFO line: 322 - found 2327 features on frame 9
08-02 14:39:27 - INFO line: 335 - found 209 matches on frame 9
08-02 14:39:28 - INFO line: 322 - found 2376 features on frame 10
08-02 14:39:28 - INFO line: 335 - found 197 matches on frame 10
08-02 14:39:29 - INFO line: 322 - found 2340 features on frame 11
08-02 14:39:29 - INFO line: 335 - found 211 matches on frame 11
08-02 14:39:30 - INFO line: 322 - found 2513 features on frame 12
08-02 14:39:30 - INFO line: 335 - found 217 matches on frame 12
08-02 14:39:31 - INFO line: 322 - found 2449 features on frame 13
08-02 14:39:31 - INFO line: 335 - found 212 matches on frame 13
08-02 14:39:32 - INFO line: 322 - found 2374 features on frame 14
08-02 14:39:33 - INFO line: 335 - found 200 matches on frame 14
08-02 14:39:33 - INFO line: 322 - found 2313 features on frame 15
08-02 14:39:34 - INFO line: 335 - found 212 matches on frame 15
08-02 14:39:34 - INFO line: 322 - found 2225 features on frame 16
08-02 14:39:35 - INFO line: 335 - found 203 matches on frame 16
08-02 14:39:35 - INFO line: 322 - found 2139 features on frame 17
08-02 14:39:36 - INFO line: 335 - found 198 matches on frame 17
08-02 14:39:36 - INFO line: 322 - found 2184 features on frame 18
08-02 14:39:37 - INFO line: 335 - found 198 matches on frame 18
08-02 14:39:37 - INFO line: 322 - found 2040 features on frame 19
08-02 14:39:38 - INFO line: 335 - found 195 matches on frame 19
08-02 14:39:38 - INFO line: 322 - found 2079 features on frame 20
08-02 14:39:39 - INFO line: 335 - found 183 matches on frame 20
08-02 14:39:39 - INFO line: 322 - found 2095 features on frame 21
08-02 14:39:40 - INFO line: 335 - found 194 matches on frame 21
08-02 14:39:40 - INFO line: 322 - found 2128 features on frame 22
08-02 14:39:41 - INFO line: 335 - found 182 matches on frame 22
08-02 14:39:41 - INFO line: 322 - found 2115 features on frame 23
08-02 14:39:42 - INFO line: 335 - found 187 matches on frame 23
08-02 14:39:42 - INFO line: 322 - found 2266 features on frame 24
08-02 14:39:43 - INFO line: 335 - found 204 matches on frame 24
08-02 14:39:43 - INFO line: 322 - found 2115 features on frame 25
08-02 14:39:44 - INFO line: 335 - found 203 matches on frame 25
08-02 14:39:44 - INFO line: 322 - found 2119 features on frame 26
08-02 14:39:45 - INFO line: 335 - found 220 matches on frame 26
08-02 14:39:45 - INFO line: 322 - found 2205 features on frame 27
08-02 14:39:46 - INFO line: 335 - found 194 matches on frame 27
08-02 14:39:47 - INFO line: 322 - found 2153 features on frame 28
08-02 14:39:47 - INFO line: 335 - found 201 matches on frame 28
08-02 14:39:48 - INFO line: 322 - found 2154 features on frame 29
08-02 14:39:48 - INFO line: 335 - found 210 matches on frame 29
08-02 14:39:49 - INFO line: 322 - found 2187 features on frame 30
08-02 14:39:49 - INFO line: 335 - found 198 matches on frame 30
08-02 14:39:50 - INFO line: 322 - found 2205 features on frame 31
08-02 14:39:50 - INFO line: 335 - found 215 matches on frame 31
08-02 14:39:51 - INFO line: 322 - found 2326 features on frame 32
